################## FYI, April 2014 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
75.479 150.859 0.780 0.015 0.719 0.063
70.217 161.771 2.394 0.097 0.884 0.063
75.521 122.335 1.602 0.066 0.807 0.063
68.098 304.099 1.248 0.035 0.729 0.063
74.340 284.534 1.482 0.054 0.909 0.064
75.998 80.311 1.218 0.053 0.872 0.064
79.639 105.690 1.932 0.054 0.992 0.064
74.499 285.546 1.527 0.067 0.699 0.064
73.166 152.580 2.077 0.064 1.055 0.064
69.817 296.136 1.387 0.027 0.966 0.065
60.359 184.164 0.815 0.023 0.940 0.065
77.325 143.637 1.084 0.019 0.884 0.065
72.572 302.358 1.387 0.092 0.962 0.065
76.499 115.074 1.320 0.040 0.851 0.065
64.134 197.011 nan nan 1.134 0.065
79.375 43.290 1.267 0.066 1.226 0.066
74.233 71.307 1.028 0.048 0.936 0.067
68.215 192.240 1.701 0.076 1.217 0.067
68.187 333.303 nan nan 1.045 0.067
77.510 27.255 0.731 0.032 0.899 0.068
67.190 301.255 1.270 0.020 0.803 0.068
77.776 90.526 1.445 0.046 1.162 0.069
70.936 302.471 1.445 0.072 0.889 0.069
71.293 300.727 1.396 0.064 0.876 0.069
69.410 296.985 1.444 0.027 0.984 0.069
79.698 104.490 1.634 0.047 0.922 0.069
75.330 121.866 1.631 0.066 0.832 0.069
79.698 45.000 1.353 0.061 0.841 0.070
72.555 298.051 1.434 0.089 0.860 0.070
73.791 69.305 1.122 0.055 1.026 0.070
76.798 139.135 nan nan 0.764 0.070
78.149 110.493 1.685 0.048 0.770 0.071
74.063 74.887 0.914 0.039 0.678 0.071
71.217 66.351 0.989 0.061 0.835 0.071
74.737 132.019 1.384 0.060 1.010 0.071
74.717 158.902 1.918 0.065 1.375 0.071
73.804 71.816 nan nan 1.047 0.072
70.363 191.567 1.727 0.080 1.282 0.072
81.706 73.523 1.908 0.078 1.079 0.072
78.513 65.186 1.599 0.092 0.959 0.072
72.299 288.895 1.441 0.044 0.727 0.072
62.263 192.960 0.439 0.012 0.987 0.072
79.191 40.795 1.169 0.068 1.147 0.073
74.884 297.897 1.050 0.107 1.035 0.073
76.672 135.682 1.243 0.040 0.967 0.073
79.309 29.521 1.009 0.047 0.962 0.073
78.425 45.000 1.051 0.054 0.903 0.074
69.418 57.961 0.838 0.051 0.767 0.074
61.818 181.610 0.851 0.044 0.896 0.074
77.506 24.955 0.690 0.030 1.261 0.074
71.813 292.920 1.427 0.053 0.704 0.074
70.326 63.875 1.127 0.079 0.913 0.075
72.995 291.309 1.527 0.085 0.866 0.075
62.188 184.899 0.688 0.019 1.069 0.075
